time,total load actual,generation solar,generation wind onshore,total load forecast,forecast solar day ahead,forecast wind onshore day ahead
2015-01-01 00:00:00+01:00,25385.0,49.0,6378.0,26118.0,17.0,6436.0
2015-01-01 01:00:00+01:00,24382.0,50.0,5890.0,24934.0,16.0,5856.0
2015-01-01 02:00:00+01:00,22734.0,50.0,5461.0,23515.0,8.0,5454.0
2015-01-01 03:00:00+01:00,21286.0,50.0,5238.0,22642.0,2.0,5151.0
2015-01-01 04:00:00+01:00,20264.0,42.0,4935.0,21785.0,9.0,4861.0
2015-01-01 05:00:00+01:00,19905.0,34.0,4618.0,21441.0,4.0,4617.0
2015-01-01 06:00:00+01:00,20010.0,34.0,4397.0,21285.0,3.0,4276.0
2015-01-01 07:00:00+01:00,20377.0,35.0,3992.0,21545.0,12.0,3994.0
2015-01-01 08:00:00+01:00,20094.0,54.0,3629.0,21443.0,39.0,3602.0
2015-01-01 09:00:00+01:00,20637.0,743.0,3073.0,21560.0,784.0,3212.0
2015-01-01 10:00:00+01:00,22250.0,2019.0,2683.0,22824.0,1996.0,2617.0
2015-01-01 11:00:00+01:00,23547.0,3197.0,2771.0,23720.0,2990.0,2450.0
2015-01-01 12:00:00+01:00,24133.0,3885.0,2906.0,24180.0,3842.0,2819.0
2015-01-01 13:00:00+01:00,24713.0,4007.0,2923.0,24797.0,3812.0,2830.0
2015-01-01 14:00:00+01:00,24672.0,3973.0,2945.0,25222.0,3699.0,2851.0
2015-01-01 15:00:00+01:00,23528.0,3818.0,2709.0,24173.0,3369.0,2822.0
2015-01-01 16:00:00+01:00,23118.0,3088.0,2552.0,23659.0,2615.0,2562.0
2015-01-01 17:00:00+01:00,23606.0,1467.0,2699.0,23982.0,1387.0,2578.0
2015-01-01 18:00:00+01:00,26447.0,404.0,2764.0,26981.0,399.0,2824.0
2015-01-01 19:00:00+01:00,28020.0,139.0,2913.0,28515.0,100.0,2801.0
2015-01-01 20:00:00+01:00,29014.0,100.0,3118.0,30482.0,44.0,2999.0
2015-01-01 21:00:00+01:00,29571.0,75.0,3373.0,30739.0,26.0,3185.0
2015-01-01 22:00:00+01:00,29031.0,74.0,3508.0,29756.0,13.0,3446.0
2015-01-01 23:00:00+01:00,26798.0,56.0,3527.0,27589.0,14.0,3482.0
2015-01-02 00:00:00+01:00,27070.0,54.0,13232.0,27309.0,5.0,13329.0
2015-01-02 01:00:00+01:00,24935.0,54.0,12760.0,25397.0,35.0,12718.0
2015-01-02 02:00:00+01:00,23214.0,54.0,12174.0,23640.0,43.0,12375.0
2015-01-02 03:00:00+01:00,22540.0,53.0,11358.0,22638.0,32.0,11524.0
2015-01-02 04:00:00+01:00,22096.0,53.0,11199.0,22238.0,31.0,11310.0
2015-01-02 05:00:00+01:00,22066.0,63.0,11152.0,22299.0,26.0,11111.0
2015-01-02 06:00:00+01:00,22275.0,55.0,11169.0,22660.0,21.0,11303.0
2015-01-02 07:00:00+01:00,23025.0,54.0,11205.0,23449.0,136.0,11297.0
2015-01-02 08:00:00+01:00,23699.0,116.0,10920.0,24067.0,175.0,11048.0
2015-01-02 09:00:00+01:00,25834.0,1039.0,10491.0,25737.0,1092.0,10711.0
2015-01-02 10:00:00+01:00,27927.0,2373.0,10156.0,27883.0,2319.0,10379.0
2015-01-02 11:00:00+01:00,29072.0,3699.0,10421.0,28969.0,3451.0,10423.0
2015-01-02 12:00:00+01:00,29071.0,4154.0,11230.0,28894.0,4005.0,10989.0
2015-01-02 13:00:00+01:00,29439.0,4074.0,11920.0,29460.0,4120.0,11842.0
2015-01-02 14:00:00+01:00,29241.0,3851.0,11819.0,29389.0,3794.0,12078.0
2015-01-02 15:00:00+01:00,27973.0,3619.0,11961.0,28231.0,3479.0,11797.0
2015-01-02 16:00:00+01:00,27320.0,3024.0,12025.0,27716.0,2788.0,12061.0
2015-01-02 17:00:00+01:00,27157.0,2053.0,12077.0,27981.0,1786.0,12102.0
2015-01-02 18:00:00+01:00,29045.0,769.0,11276.0,30136.0,618.0,11451.0
2015-01-02 19:00:00+01:00,31967.0,266.0,10510.0,32754.0,170.0,10619.0
2015-01-02 20:00:00+01:00,33266.0,165.0,10406.0,33968.0,104.0,10216.0
2015-01-02 21:00:00+01:00,33668.0,137.0,10445.0,33870.0,93.0,10470.0
2015-01-02 22:00:00+01:00,32426.0,137.0,9976.0,32715.0,92.0,10112.0
2015-01-02 23:00:00+01:00,29705.0,137.0,9527.0,30052.0,81.0,9560.0
2015-01-03 00:00:00+01:00,25564.0,62.0,9264.0,26323.0,2.0,9313.0
2015-01-03 01:00:00+01:00,23584.0,62.0,9135.0,24301.0,0.0,9215.0
2015-01-03 02:00:00+01:00,22194.0,61.0,9362.0,22651.0,0.0,9196.0
2015-01-03 03:00:00+01:00,21296.0,61.0,9628.0,21785.0,2.0,9502.0
2015-01-03 04:00:00+01:00,21145.0,61.0,9607.0,21418.0,2.0,9617.0
2015-01-03 05:00:00+01:00,21316.0,61.0,9666.0,21317.0,1.0,9619.0
2015-01-03 06:00:00+01:00,21674.0,61.0,9743.0,21768.0,1.0,9733.0
2015-01-03 07:00:00+01:00,22127.0,63.0,9401.0,22276.0,37.0,9455.0
2015-01-03 08:00:00+01:00,22756.0,233.0,8363.0,22674.0,364.0,8564.0
2015-01-03 09:00:00+01:00,24654.0,820.0,7924.0,24595.0,1080.0,8062.0
2015-01-03 10:00:00+01:00,26454.0,1665.0,7592.0,26431.0,2015.0,7573.0
2015-01-03 11:00:00+01:00,26959.0,2488.0,7874.0,27260.0,2935.0,7689.0
2015-01-03 12:00:00+01:00,26716.0,3218.0,8192.0,27165.0,3406.0,8082.0
2015-01-03 13:00:00+01:00,26802.0,3695.0,8718.0,27449.0,3743.0,8571.0
