time,total load actual,generation solar,generation wind onshore,avg_temp,avg_humidity,avg_wind_speed,avg_rain_1h,avg_clouds_all
2015-01-01 00:00:00+01:00,25385.0,49.0,6378.0,273.1,81.5,2.7,0.0,0.0
2015-01-01 01:00:00+01:00,24382.0,50.0,5890.0,273.1,81.5,2.7,0.0,0.0
2015-01-01 02:00:00+01:00,22734.0,50.0,5461.0,272.5,81.6,2.8,0.0,0.0
2015-01-01 03:00:00+01:00,21286.0,50.0,5238.0,272.5,81.6,2.8,0.0,0.0
2015-01-01 04:00:00+01:00,20264.0,42.0,4935.0,272.5,81.6,2.8,0.0,0.0
2015-01-01 05:00:00+01:00,19905.0,34.0,4618.0,272.2,81.2,2.4,0.0,0.0
2015-01-01 06:00:00+01:00,20010.0,34.0,4397.0,272.2,81.2,2.4,0.0,0.0
2015-01-01 07:00:00+01:00,20377.0,35.0,3992.0,272.4,81.0,2.4,0.0,0.0
2015-01-01 08:00:00+01:00,20094.0,54.0,3629.0,274.3,80.9,1.4,0.0,0.0
2015-01-01 09:00:00+01:00,20637.0,743.0,3073.0,274.4,80.8,1.4,0.0,0.0
2015-01-01 10:00:00+01:00,22250.0,2019.0,2683.0,274.9,78.4,1.4,0.0,0.0
2015-01-01 11:00:00+01:00,23547.0,3197.0,2771.0,282.6,73.9,1.6,0.0,0.0
2015-01-01 12:00:00+01:00,24133.0,3885.0,2906.0,282.9,72.3,1.6,0.0,0.0
2015-01-01 13:00:00+01:00,24713.0,4007.0,2923.0,282.8,73.4,1.6,0.0,0.0
2015-01-01 14:00:00+01:00,24672.0,3973.0,2945.0,283.9,52.4,1.9,0.0,0.0
2015-01-01 15:00:00+01:00,23528.0,3818.0,2709.0,284.5,51.1,2.0,0.0,0.0
2015-01-01 16:00:00+01:00,23118.0,3088.0,2552.0,281.1,65.9,2.1,0.0,0.4
2015-01-01 17:00:00+01:00,23606.0,1467.0,2699.0,283.0,59.2,2.3,0.0,0.2
2015-01-01 18:00:00+01:00,26447.0,404.0,2764.0,280.9,68.3,2.3,0.0,0.5
2015-01-01 19:00:00+01:00,28020.0,139.0,2913.0,279.4,69.2,2.1,0.0,1.6
2015-01-01 20:00:00+01:00,29014.0,100.0,3118.0,277.2,80.4,2.3,0.0,1.6
2015-01-01 21:00:00+01:00,29571.0,75.0,3373.0,275.6,83.1,2.0,0.0,2.4
2015-01-01 22:00:00+01:00,29031.0,74.0,3508.0,275.6,82.9,2.0,0.0,0.4
2015-01-01 23:00:00+01:00,26798.0,56.0,3527.0,274.2,83.1,1.4,0.0,2.1
2015-01-02 00:00:00+01:00,27070.0,54.0,13232.0,274.2,83.1,1.5,0.0,1.0
2015-01-02 01:00:00+01:00,24935.0,54.0,12760.0,274.1,83.2,1.4,0.0,1.6
2015-01-02 02:00:00+01:00,23214.0,54.0,12174.0,273.5,83.4,1.5,0.0,0.0
2015-01-02 03:00:00+01:00,22540.0,53.0,11358.0,273.4,83.4,1.5,0.0,0.0
2015-01-02 04:00:00+01:00,22096.0,53.0,11199.0,273.4,83.5,1.5,0.0,1.0
2015-01-02 05:00:00+01:00,22066.0,63.0,11152.0,273.0,82.4,1.2,0.0,0.6
2015-01-02 06:00:00+01:00,22275.0,55.0,11169.0,272.9,82.5,1.2,0.0,1.3
2015-01-02 07:00:00+01:00,23025.0,54.0,11205.0,273.1,82.3,1.2,0.0,1.2
2015-01-02 08:00:00+01:00,23699.0,116.0,10920.0,275.2,82.1,1.4,0.0,2.1
2015-01-02 09:00:00+01:00,25834.0,1039.0,10491.0,275.3,82.0,1.4,0.0,2.2
2015-01-02 10:00:00+01:00,27927.0,2373.0,10156.0,275.8,79.8,1.4,0.0,2.0
2015-01-02 11:00:00+01:00,29072.0,3699.0,10421.0,279.6,76.2,1.5,0.0,2.2
2015-01-02 12:00:00+01:00,29071.0,4154.0,11230.0,282.4,62.4,1.5,0.0,2.1
2015-01-02 13:00:00+01:00,29439.0,4074.0,11920.0,283.6,74.8,1.5,0.0,2.2
2015-01-02 14:00:00+01:00,29241.0,3851.0,11819.0,285.6,49.1,1.5,0.0,2.0
2015-01-02 15:00:00+01:00,27973.0,3619.0,11961.0,286.1,49.3,1.6,0.0,2.0
2015-01-02 16:00:00+01:00,27320.0,3024.0,12025.0,282.6,67.2,1.5,0.0,8.6
2015-01-02 17:00:00+01:00,27157.0,2053.0,12077.0,284.3,61.5,1.5,0.0,6.2
2015-01-02 18:00:00+01:00,29045.0,769.0,11276.0,282.1,73.1,1.5,0.0,10.7
2015-01-02 19:00:00+01:00,31967.0,266.0,10510.0,280.1,85.2,1.5,0.0,14.2
2015-01-02 20:00:00+01:00,33266.0,165.0,10406.0,278.3,84.8,1.5,0.0,18.7
2015-01-02 21:00:00+01:00,33668.0,137.0,10445.0,276.8,84.2,1.5,0.0,22.2
2015-01-02 22:00:00+01:00,32426.0,137.0,9976.0,276.8,84.3,1.5,0.0,22.6
2015-01-02 23:00:00+01:00,29705.0,137.0,9527.0,276.4,84.3,1.5,0.0,21.6
2015-01-03 00:00:00+01:00,25564.0,62.0,9264.0,275.8,83.6,1.5,0.0,14.4
2015-01-03 01:00:00+01:00,23584.0,62.0,9135.0,275.2,82.8,1.8,0.0,7.6
2015-01-03 02:00:00+01:00,22194.0,61.0,9362.0,274.9,83.4,1.8,0.0,5.4
2015-01-03 03:00:00+01:00,21296.0,61.0,9628.0,274.5,82.3,1.7,0.0,5.7
2015-01-03 04:00:00+01:00,21145.0,61.0,9607.0,274.5,82.3,1.7,0.0,5.8
2015-01-03 05:00:00+01:00,21316.0,61.0,9666.0,274.5,82.2,1.9,0.0,6.9
2015-01-03 06:00:00+01:00,21674.0,61.0,9743.0,274.0,81.8,1.6,0.0,3.4
2015-01-03 07:00:00+01:00,22127.0,63.0,9401.0,274.1,81.6,1.6,0.0,3.4
2015-01-03 08:00:00+01:00,22756.0,233.0,8363.0,274.8,81.3,1.6,0.0,1.2
2015-01-03 09:00:00+01:00,24654.0,820.0,7924.0,276.1,83.2,1.9,0.0,1.2
2015-01-03 10:00:00+01:00,26454.0,1665.0,7592.0,276.6,81.3,1.9,0.0,0.6
2015-01-03 11:00:00+01:00,26959.0,2488.0,7874.0,284.3,77.0,1.9,0.0,0.8
2015-01-03 12:00:00+01:00,26716.0,3218.0,8192.0,284.6,75.7,1.9,0.0,0.4
2015-01-03 13:00:00+01:00,26802.0,3695.0,8718.0,284.5,76.8,1.9,0.0,0.6
2015-01-03 14:00:00+01:00,26416.0,3780.0,9152.0,285.0,74.7,1.9,0.0,0.0
2015-01-03 15:00:00+01:00,25362.0,3370.0,9382.0,287.2,70.3,1.7,0.0,0.0
2015-01-03 16:00:00+01:00,24770.0,2692.0,9307.0,285.5,72.1,1.4,0.0,0.0
2015-01-03 17:00:00+01:00,24501.0,1931.0,8892.0,285.4,61.4,1.3,0.0,0.0
2015-01-03 18:00:00+01:00,24992.0,1015.0,8568.0,283.3,68.9,1.2,0.0,0.0
2015-01-03 19:00:00+01:00,27964.0,502.0,9005.0,281.3,86.7,1.2,0.0,0.0
2015-01-03 20:00:00+01:00,29694.0,355.0,9672.0,277.9,84.8,1.4,0.0,0.0
2015-01-03 21:00:00+01:00,29874.0,291.0,10081.0,277.1,70.3,1.4,0.0,0.0
2015-01-03 22:00:00+01:00,28979.0,207.0,10537.0,277.8,66.0,1.5,0.0,0.0
2015-01-03 23:00:00+01:00,26863.0,117.0,10953.0,276.7,63.6,1.1,0.0,0.0
2015-01-04 00:00:00+01:00,25254.0,692.0,8540.0,276.4,64.3,1.2,0.0,0.0
2015-01-04 01:00:00+01:00,23620.0,684.0,8080.0,276.6,64.3,0.8,0.0,1.0
2015-01-04 02:00:00+01:00,22606.0,648.0,7773.0,276.3,66.6,1.4,0.0,0.6
2015-01-04 03:00:00+01:00,22191.0,640.0,7601.0,276.4,67.5,1.7,0.0,1.3
2015-01-04 04:00:00+01:00,21929.0,563.0,7584.0,276.2,68.6,1.4,0.0,4.0
2015-01-04 05:00:00+01:00,22195.0,372.0,7812.0,276.0,70.9,1.5,0.0,4.0
2015-01-04 06:00:00+01:00,24035.0,179.0,7950.0,275.8,72.3,1.5,0.0,6.0
2015-01-04 07:00:00+01:00,26807.0,129.0,8228.0,276.0,73.8,1.5,0.0,5.6
2015-01-04 08:00:00+01:00,28316.0,357.0,8341.0,276.8,74.0,1.5,0.0,8.4
2015-01-04 09:00:00+01:00,29871.0,1634.0,8569.0,278.1,74.0,1.2,0.0,8.8
2015-01-04 10:00:00+01:00,30585.0,3830.0,8433.0,279.0,71.7,1.2,0.0,8.6
2015-01-04 11:00:00+01:00,30772.0,4937.0,8001.0,279.2,71.9,1.2,0.0,9.2
2015-01-04 12:00:00+01:00,30685.0,5302.0,7520.0,286.5,68.5,1.4,0.0,9.2
2015-01-04 13:00:00+01:00,30429.0,5590.0,7274.0,286.7,68.3,1.1,0.0,9.0
2015-01-04 14:00:00+01:00,28741.0,5668.0,6878.0,287.3,63.3,1.3,0.0,10.8
2015-01-04 15:00:00+01:00,28249.0,5593.0,7517.0,288.0,63.6,1.0,0.0,12.5
2015-01-04 16:00:00+01:00,28105.0,5316.0,7999.0,287.8,66.0,0.7,0.0,10.4
2015-01-04 17:00:00+01:00,27908.0,4907.0,8181.0,285.0,74.7,0.7,0.0,10.9
2015-01-04 18:00:00+01:00,27577.0,4200.0,8260.0,282.0,84.6,1.1,0.0,9.4
