avg_temp,avg_humidity,avg_wind_speed,avg_rain_1h,avg_clouds_all
273.1,81.5,2.7,0.0,0.0
273.1,81.5,2.7,0.0,0.0
272.5,81.6,2.8,0.0,0.0
272.5,81.6,2.8,0.0,0.0
272.5,81.6,2.8,0.0,0.0
272.2,81.2,2.4,0.0,0.0
272.2,81.2,2.4,0.0,0.0
272.4,81.0,2.4,0.0,0.0
274.3,80.9,1.4,0.0,0.0
274.4,80.8,1.4,0.0,0.0
274.9,78.4,1.4,0.0,0.0
282.6,73.9,1.6,0.0,0.0
282.9,72.3,1.6,0.0,0.0
282.8,73.4,1.6,0.0,0.0
283.9,52.4,1.9,0.0,0.0
284.5,51.1,2.0,0.0,0.0
281.1,65.9,2.1,0.0,0.4
283.0,59.2,2.3,0.0,0.2
280.9,68.3,2.3,0.0,0.5
279.4,69.2,2.1,0.0,1.6
277.2,80.4,2.3,0.0,1.6
275.6,83.1,2.0,0.0,2.4
275.6,82.9,2.0,0.0,0.4
274.2,83.1,1.4,0.0,2.1
274.2,83.1,1.5,0.0,1.0
274.1,83.2,1.4,0.0,1.6
273.5,83.4,1.5,0.0,0.0
273.4,83.4,1.5,0.0,0.0
273.4,83.5,1.5,0.0,1.0
273.0,82.4,1.2,0.0,0.6
272.9,82.5,1.2,0.0,1.3
273.1,82.3,1.2,0.0,1.2
275.2,82.1,1.4,0.0,2.1
275.3,82.0,1.4,0.0,2.2
275.8,79.8,1.4,0.0,2.0
279.6,76.2,1.5,0.0,2.2
282.4,62.4,1.5,0.0,2.1
283.6,74.8,1.5,0.0,2.2
285.6,49.1,1.5,0.0,2.0
286.1,49.3,1.6,0.0,2.0
282.6,67.2,1.5,0.0,8.6
284.3,61.5,1.5,0.0,6.2
282.1,73.1,1.5,0.0,10.7
280.1,85.2,1.5,0.0,14.2
278.3,84.8,1.5,0.0,18.7
276.8,84.2,1.5,0.0,22.2
276.8,84.3,1.5,0.0,22.6
276.4,84.3,1.5,0.0,21.6
275.8,83.6,1.5,0.0,14.4
275.2,82.8,1.8,0.0,7.6
274.9,83.4,1.8,0.0,5.4
274.5,82.3,1.7,0.0,5.7
274.5,82.3,1.7,0.0,5.8
274.5,82.2,1.9,0.0,6.9
274.0,81.8,1.6,0.0,3.4
274.1,81.6,1.6,0.0,3.4
274.8,81.3,1.6,0.0,1.2
276.1,83.2,1.9,0.0,1.2
276.6,81.3,1.9,0.0,0.6
284.3,77.0,1.9,0.0,0.8
284.6,75.7,1.9,0.0,0.4
284.5,76.8,1.9,0.0,0.6
285.0,74.7,1.9,0.0,0.0
287.2,70.3,1.7,0.0,0.0
285.5,72.1,1.4,0.0,0.0
285.4,61.4,1.3,0.0,0.0
283.3,68.9,1.2,0.0,0.0
281.3,86.7,1.2,0.0,0.0
277.9,84.8,1.4,0.0,0.0
277.1,70.3,1.4,0.0,0.0
277.8,66.0,1.5,0.0,0.0
276.7,63.6,1.1,0.0,0.0
276.4,64.3,1.2,0.0,0.0
276.6,64.3,0.8,0.0,1.0
276.3,66.6,1.4,0.0,0.6
276.4,67.5,1.7,0.0,1.3
276.2,68.6,1.4,0.0,4.0
276.0,70.9,1.5,0.0,4.0
275.8,72.3,1.5,0.0,6.0
276.0,73.8,1.5,0.0,5.6
276.8,74.0,1.5,0.0,8.4
278.1,74.0,1.2,0.0,8.8
279.0,71.7,1.2,0.0,8.6
279.2,71.9,1.2,0.0,9.2
286.5,68.5,1.4,0.0,9.2
286.7,68.3,1.1,0.0,9.0
287.3,63.3,1.3,0.0,10.8
288.0,63.6,1.0,0.0,12.5
287.8,66.0,0.7,0.0,10.4
285.0,74.7,0.7,0.0,10.9
282.0,84.6,1.1,0.0,9.4
280.5,83.6,1.0,0.0,7.4
278.9,83.3,0.9,0.0,3.7
278.4,82.6,0.9,0.0,3.0
278.6,83.4,0.9,0.0,3.2
276.9,81.0,1.5,0.0,2.2
276.6,83.4,1.2,0.0,2.1
276.4,75.6,0.9,0.0,1.2
276.2,75.6,1.4,0.0,5.7
275.5,78.3,1.1,0.0,5.0
275.5,78.6,1.1,0.0,6.4
275.8,79.5,0.9,0.0,9.8
275.6,79.5,0.9,0.0,10.5
275.8,80.6,0.9,0.0,11.0
276.3,80.1,0.9,0.0,11.7
277.5,80.2,0.9,0.0,15.8
278.7,72.6,1.3,0.0,10.6
281.2,70.0,1.3,0.0,15.4
284.8,71.4,1.1,0.0,6.5
285.4,68.3,2.3,0.0,10.6
285.8,63.8,1.4,0.0,9.7
285.8,65.8,1.0,0.0,7.6
283.6,74.7,1.3,0.0,9.6
284.0,75.7,1.3,0.0,6.8
282.2,83.3,1.3,0.0,8.0
279.8,79.0,1.9,0.0,11.4
277.7,83.7,2.0,0.0,13.0
277.8,84.7,0.7,0.0,13.3
277.9,85.6,2.0,0.0,12.8
277.0,83.9,2.1,0.0,19.9
276.3,82.4,2.4,0.0,26.2
276.2,81.8,0.9,0.0,27.4
275.7,80.1,1.2,0.0,29.0
275.7,78.0,1.1,0.0,29.7
275.3,80.7,1.2,0.0,30.0
274.8,81.7,1.1,0.0,45.2
274.9,82.0,1.1,0.0,45.6
275.0,78.9,1.1,0.0,47.6
277.3,85.4,0.8,0.0,51.4
278.0,82.4,0.8,0.0,52.9
279.2,78.2,1.4,0.0,51.2
281.0,73.8,0.8,0.0,52.1
